call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn,is_dormant
12,0,42,2,3855,84,42,32,3,1,1,325.56,0,0
5,0,42,1,2440,41,295,22,3,1,1,1279.24,0,0
14,0,41,3,9195,123,154,47,3,1,1,988.72,0,0
8,0,42,1,13853,171,10,48,3,1,1,600.96,0,0
8,0,42,2,4595,85,12,29,3,1,1,235.2,0,0
7,0,42,1,5998,97,17,16,3,1,1,311.8,0,0
10,0,42,0,2318,56,18,21,3,1,2,166.96,0,0
26,0,42,4,15220,227,64,36,3,2,1,873.88,0,0
5,0,42,2,3175,29,493,12,3,1,1,2100.16,0,0
10,0,41,1,15565,184,160,34,2,1,1,1428.705,0,0
4,0,41,2,6580,88,196,30,3,1,1,1050.72,0,0
1,0,41,0,955,16,10,15,2,1,2,88.695,0,0
3,0,42,0,790,16,23,12,3,1,2,124.24,0,0
1,0,41,0,80,2,10,4,2,1,2,48.69,1,0
4,0,41,1,7588,129,394,47,3,1,1,1884.68,0,0
8,0,41,2,11545,156,21,51,4,1,1,345.025,0,0
9,0,41,2,6798,77,118,41,2,1,1,840.375,0,0
24,1,37,0,1035,49,26,21,3,1,2,147.36,1,0
22,1,40,9,10515,95,11,46,5,1,1,175.65,0,0
14,0,40,2,5898,100,36,28,2,1,1,431.91,1,0
2,0,38,1,2920,24,10,18,3,1,1,157.76,0,0
10,0,39,0,3070,43,19,20,3,1,2,200.52,1,0
10,1,40,0,2348,46,44,35,3,1,2,271.76,1,0
1,0,40,0,213,4,10,6,3,1,2,48.68,1,0
2,0,40,1,1748,27,10,10,4,1,1,69.375,0,0
4,0,37,2,6865,99,24,26,5,1,1,140.46,0,0
1,1,40,0,708,9,19,8,4,1,2,65.425,1,0
1,0,40,2,418,6,14,6,5,1,1,27.36,0,0
26,0,35,4,16155,240,10,84,2,1,1,782.775,0,0
7,1,38,4,7045,118,281,37,2,2,1,1586.835,0,0
3,0,40,1,3798,84,12,32,3,1,1,203.28,0,0
4,0,39,0,1745,46,48,24,3,1,2,263.64,0,0
7,0,40,1,2860,55,185,27,2,1,1,963.675,0,0
5,0,31,2,1395,38,203,15,2,2,1,977.985,0,0
5,0,30,1,1648,41,40,72,4,1,1,142.225,0,0
12,0,31,0,780,27,20,11,3,1,2,112.28,0,0
1,0,30,0,905,12,31,7,4,1,2,100.425,0,0
11,0,29,1,1305,34,29,17,2,1,1,190.755,0,0
3,0,29,1,3305,63,18,27,3,1,1,206.72,0,0
3,0,22,1,1775,28,38,18,2,1,1,252.135,0,0
17,0,21,2,6473,143,95,46,2,2,1,725.22,0,0
13,0,19,1,9013,173,83,44,5,1,1,262.29,0,0
9,0,20,4,2933,47,41,23,3,1,1,283.2,0,0
3,0,13,2,4470,42,225,14,3,1,1,1080.48,0,0
4,0,13,2,1568,21,10,11,3,1,1,103.56,1,0
7,0,34,0,4290,69,0,13,2,1,1,196.155,0,0
0,0,35,0,0,0,0,0,2,1,2,0.0,0,1
9,0,33,0,2373,58,349,20,2,1,1,1679.895,0,0
9,0,34,0,4118,64,0,31,1,1,1,230.01,0,0
2,0,34,0,2313,56,0,29,1,1,1,130.295,0,0
10,0,34,0,3695,80,22,24,3,1,1,239.0,0,0
3,0,34,0,2280,37,275,14,3,1,1,1192.68,0,0
12,0,33,1,9035,119,134,39,3,1,1,902.16,0,0
6,0,34,0,13693,167,0,40,3,1,1,554.4,0,0
6,0,34,0,4435,81,0,21,3,1,1,180.64,0,0
5,0,34,0,5838,93,0,8,2,1,1,266.895,0,0
8,0,34,0,2158,52,0,13,3,1,2,88.4,0,0
24,0,34,2,15060,223,44,28,3,1,1,787.32,0,0
3,0,34,0,3015,25,473,4,3,1,1,2013.6,0,0
8,0,33,0,15405,180,140,26,2,1,1,1331.325,0,0
2,0,33,0,6420,84,176,22,3,1,1,964.16,0,0
0,0,33,0,795,12,0,7,2,1,2,36.315,0,0
1,0,34,0,630,12,3,4,2,1,2,42.39,0,0
0,0,33,0,0,0,0,0,2,1,2,0.0,1,1
2,0,33,0,7428,125,374,39,2,1,1,2022.885,0,0
6,0,33,0,11385,152,1,43,3,1,1,465.48,0,0
7,0,33,0,6638,73,98,33,2,1,1,742.995,0,0
22,0,29,0,875,45,6,13,2,1,2,68.4,1,0
20,0,32,7,10355,91,0,38,4,1,1,261.15,0,0
12,1,32,0,5738,96,16,20,2,1,1,334.53,1,0
0,0,30,0,2760,20,0,10,3,1,1,111.2,0,0
8,1,31,0,2910,39,0,12,3,1,2,117.96,1,0
8,0,32,0,2188,42,24,27,3,1,2,185.2,1,0
0,1,32,0,0,0,0,0,3,1,2,0.0,1,1
0,0,32,0,1588,23,0,2,3,1,1,64.44,0,0
2,0,29,0,6705,95,4,18,4,1,1,180.0,0,0
0,0,32,0,0,0,0,0,4,1,2,0.0,1,1
0,0,32,0,0,0,0,0,5,1,1,0.0,0,1
24,0,27,2,15995,236,0,76,2,1,1,730.395,0,0
5,0,30,2,6885,114,261,29,2,2,1,1489.455,0,0
1,0,32,0,3638,80,0,24,2,1,1,167.31,0,0
2,0,31,0,1585,42,28,16,3,1,2,177.08,0,0
5,0,32,0,2700,51,165,19,2,1,1,866.295,0,0
3,0,23,0,1235,34,183,7,2,2,1,880.605,0,0
3,0,22,0,1488,37,20,64,4,1,1,88.125,0,0
10,0,23,0,620,23,0,3,2,1,2,28.935,0,0
0,0,22,0,0,0,11,0,4,1,2,27.5,0,0
9,0,21,0,1145,30,9,9,2,1,1,93.375,0,0
1,0,21,0,3145,59,0,19,3,1,1,128.16,0,0
1,0,14,0,1615,24,18,10,2,1,1,154.755,0,0
15,0,13,0,6313,139,75,38,1,2,1,767.36,0,0
11,0,11,0,8853,169,63,36,4,1,1,383.05,0,0
7,0,12,2,2773,43,21,15,3,1,1,196.64,0,0
1,0,5,0,4310,38,205,6,3,1,1,993.92,0,0
2,0,5,0,1408,17,0,3,3,1,1,57.0,1,0
13,0,44,1,4630,81,20,23,3,1,1,268.44,0,0
5,0,45,0,578,15,22,10,3,1,2,111.72,0,0
15,0,43,1,2713,70,374,30,3,1,1,1607.32,0,0
15,0,44,1,4458,76,16,41,1,1,1,337.37,0,0
8,0,44,1,2653,68,17,39,2,1,1,198.945,0,0
16,0,44,2,4035,92,47,34,3,1,1,353.08,0,0
9,0,44,1,2620,49,300,24,3,1,1,1306.76,0,0
18,0,43,3,9375,131,159,49,3,1,1,1016.24,0,0
12,0,44,1,14033,179,15,50,3,1,1,628.48,0,0
12,0,44,2,4775,93,17,31,3,1,1,262.72,0,0
11,0,44,1,6178,105,22,18,3,1,1,339.32,0,0
14,1,44,0,2498,64,23,23,3,1,2,194.48,0,0
30,0,44,4,15400,235,69,38,3,1,1,901.4,0,0
9,0,44,2,3355,37,498,14,3,1,1,2127.68,0,0
14,0,43,1,15745,192,165,36,2,1,1,1459.665,0,0
8,0,43,2,6760,96,201,32,3,1,1,1078.24,0,0
5,0,43,0,1135,24,15,17,2,1,2,119.655,0,0
7,0,44,0,970,24,28,14,3,1,2,151.76,0,0
5,0,43,0,260,10,15,6,2,1,2,79.65,1,0
8,0,43,1,7768,137,399,49,3,1,1,1912.2,0,0
12,0,43,2,11725,164,26,53,4,1,1,362.225,0,0
13,0,43,2,6978,85,123,43,2,1,1,871.335,0,0
28,1,39,0,1215,57,31,23,3,1,2,174.88,1,0
26,0,42,9,10695,103,16,48,5,2,1,185.97,0,0
18,0,42,2,6078,108,41,30,2,1,1,462.87,0,0
6,0,40,1,3100,32,15,20,3,1,1,185.28,0,0
14,1,41,0,3250,51,24,22,3,1,2,228.04,1,0
14,1,42,0,2528,54,49,37,4,1,2,187.05,1,0
5,0,42,0,393,12,15,8,3,1,2,76.2,1,0
6,0,42,1,1928,35,15,12,4,1,1,86.575,0,0
8,0,39,2,7045,107,29,28,5,1,1,150.78,0,0
5,0,42,0,888,17,24,10,4,1,2,82.625,1,0
5,0,42,2,598,14,19,8,5,1,1,37.68,0,0
30,1,37,4,16335,248,15,86,2,1,1,813.735,0,0
11,1,40,4,7225,126,286,39,3,2,1,1438.04,0,0
7,0,42,1,3978,92,17,34,3,1,1,230.8,0,0
8,0,41,0,1925,54,53,26,3,1,2,291.16,0,0
11,0,42,1,3040,63,190,29,2,1,1,994.635,0,0
9,0,33,2,1575,46,208,17,3,2,1,896.84,0,0
9,0,32,1,1828,49,45,74,5,1,1,95.655,0,0
16,0,33,0,960,35,25,13,3,1,2,139.8,0,0
5,0,32,0,1085,20,36,9,4,1,2,117.625,0,0
15,0,31,1,1485,42,34,19,2,1,1,221.715,0,0
7,0,31,1,3485,71,23,29,3,1,1,234.24,0,0
7,0,24,1,1955,36,43,20,3,1,1,251.64,0,0
21,0,23,2,6653,151,100,48,2,2,1,756.18,0,0
17,0,21,1,9193,181,88,46,5,1,1,272.61,0,0
13,0,22,4,3113,55,46,25,3,1,1,310.72,0,0
7,0,15,2,4650,50,230,16,3,1,1,1108.0,0,0
8,1,15,2,1748,29,15,13,3,1,1,131.08,1,0
3,0,32,0,4110,61,0,11,2,1,1,187.695,0,0
0,0,33,0,0,0,0,0,2,1,2,0.0,0,1
5,0,31,0,2193,50,344,18,2,1,1,1648.935,0,0
5,0,32,0,3938,56,0,29,1,1,1,219.67,0,0
0,0,32,0,2133,48,0,27,1,1,1,119.955,0,0
6,0,32,0,3515,72,17,22,2,1,1,237.915,0,0
0,0,32,0,2100,29,270,12,3,1,1,1165.16,0,0
8,0,31,1,8855,111,129,37,3,1,1,874.64,0,0
2,0,32,0,13513,159,0,38,3,1,1,546.88,0,0
2,0,32,0,4255,73,0,19,3,1,1,173.12,0,0
1,0,32,0,5658,85,0,6,2,1,1,258.435,0,0
4,0,32,0,1978,44,0,11,3,1,2,80.88,0,0
20,0,32,2,14880,215,39,26,3,1,1,759.8,0,0
0,0,32,0,2835,17,468,2,3,1,1,1986.08,0,0
4,0,31,0,15225,172,135,24,2,1,1,1300.365,0,0
0,0,31,0,6240,76,171,20,3,1,1,936.64,0,0
0,0,31,0,615,4,0,5,2,1,2,27.855,0,0
0,0,32,0,450,4,0,2,2,1,2,20.43,0,0
0,0,31,0,0,0,0,0,2,1,2,0.0,1,1
0,0,31,0,7248,117,369,37,2,1,1,1991.925,0,0
2,0,31,0,11205,144,0,41,3,1,1,453.96,0,0
3,0,31,0,6458,65,93,31,2,1,1,712.035,0,0
18,1,27,0,695,37,1,11,2,1,2,37.44,1,0
16,0,30,7,10175,83,0,36,4,1,1,256.45,0,0
8,1,30,0,5558,88,11,18,2,1,1,303.57,1,0
0,0,28,0,2580,12,0,8,3,1,1,103.68,0,0
4,0,29,0,2730,31,0,10,2,1,2,124.245,1,0
4,1,30,0,2008,34,19,25,3,1,2,157.68,1,0
0,0,30,0,0,0,0,0,3,1,2,0.0,1,1
0,0,30,0,0,0,0,0,3,1,1,0.0,0,1
0,0,27,0,6525,87,0,16,4,1,1,165.3,0,0
0,1,30,0,0,0,0,0,4,1,2,0.0,1,1
0,1,30,0,0,0,0,0,5,1,1,0.0,1,1
20,0,25,2,15815,228,0,74,2,1,1,721.935,0,0
1,0,28,2,6705,106,256,27,2,2,1,1458.495,0,0
0,0,30,0,3458,72,0,22,2,1,1,158.85,0,0
0,0,29,0,1405,34,23,14,3,1,2,149.56,0,0
1,0,30,0,2520,43,160,17,2,1,1,835.335,0,0
0,0,21,0,1055,26,178,5,2,2,1,849.645,0,0
0,0,20,0,1308,29,15,62,4,1,1,70.925,0,0
6,0,21,0,440,15,0,1,2,1,2,20.475,0,0
0,0,20,0,0,0,6,0,4,1,2,15.0,0,0
5,0,19,0,965,22,4,7,2,1,1,62.415,0,0
0,0,19,0,2965,51,0,17,3,1,1,120.64,0,0
0,0,12,0,1435,16,13,8,2,1,1,123.795,0,0
11,0,11,0,6133,131,70,36,1,2,1,729.52,0,0
7,0,9,0,8673,161,58,34,4,1,1,365.85,0,0
3,0,10,2,2593,35,16,13,3,1,1,169.12,0,0
0,0,3,0,4130,30,200,4,3,1,1,966.4,0,0
0,1,3,0,1228,9,0,1,2,1,1,55.665,1,0
10,0,41,0,4550,79,16,22,3,1,1,249.16,0,0
2,0,42,0,498,13,18,9,2,1,2,103.995,0,0
12,0,40,0,2633,68,370,29,3,1,1,1588.04,0,0
12,0,41,0,4378,74,12,40,1,1,1,310.86,0,0
5,0,41,0,2573,66,13,38,1,1,1,216.645,0,0
13,0,41,1,3955,90,43,33,3,1,1,333.8,0,0
6,0,41,0,2540,47,296,23,3,1,1,1287.48,0,0
15,0,40,2,9295,129,155,48,3,1,1,996.96,0,0
9,0,41,0,13953,177,11,49,3,1,1,609.2,0,0
9,0,41,1,4695,91,13,30,3,1,1,243.44,0,0
8,0,41,0,6098,103,18,17,3,1,1,320.04,0,0
11,0,41,0,2418,62,19,22,3,1,2,175.2,0,0
27,0,41,3,15320,233,65,37,3,1,1,882.12,0,0
6,0,41,1,3275,35,494,13,3,1,1,2108.4,0,0
11,0,40,0,15665,190,161,35,2,1,1,1437.975,0,0
5,0,40,1,6680,94,197,31,3,1,1,1058.96,0,0
2,0,40,0,1055,22,11,16,2,1,2,97.965,0,0
4,0,41,0,890,22,24,13,3,1,2,132.48,0,0
2,0,40,0,180,8,11,5,2,1,2,57.96,1,0
5,0,40,0,7688,135,395,48,2,1,1,2129.535,0,0
9,0,40,1,11645,162,22,52,4,1,1,350.175,0,0
10,0,40,1,6898,83,119,42,2,1,1,849.645,0,0
25,1,36,0,1135,55,27,22,2,1,2,175.05,1,0
23,0,39,8,10615,101,12,47,5,1,1,178.74,0,0
15,0,39,1,5998,106,37,29,2,1,1,441.18,0,0
3,0,37,0,3020,30,11,19,3,1,1,166.0,0,0
11,1,38,0,3170,49,20,21,3,1,2,208.76,1,0
11,1,39,0,2448,52,45,36,3,1,2,280.0,1,0
2,1,39,0,313,10,11,7,3,1,2,56.92,1,0
3,0,39,0,1848,33,11,11,3,1,1,119.24,0,0
5,0,36,1,6965,105,25,27,5,1,1,143.55,0,0
2,0,39,0,808,15,20,9,4,1,2,70.575,1,0
2,0,39,1,518,12,15,7,5,1,1,30.45,0,0
27,1,34,3,16255,246,11,85,2,1,1,792.045,0,0
8,0,37,3,7145,124,282,38,2,2,1,1596.105,0,0
4,0,39,0,3898,90,13,33,2,1,1,237.96,0,0
5,0,38,0,1845,52,49,25,3,1,2,271.88,0,0
8,0,39,0,2960,61,186,28,2,1,1,972.945,0,0
6,1,30,1,1495,44,204,16,2,2,1,987.255,1,0
6,0,29,0,1748,47,41,73,4,1,1,147.375,0,0
13,0,30,0,880,33,21,12,2,1,2,135.585,0,0
2,0,29,0,1005,18,32,8,4,1,2,105.575,0,0
12,0,28,0,1405,40,30,18,2,1,1,200.025,0,0
4,0,28,0,3405,69,19,28,3,1,1,214.96,0,0
4,0,21,0,1875,34,39,19,2,1,1,261.405,0,0
18,0,20,1,6573,149,96,47,2,2,1,734.49,0,0
14,0,18,0,9113,179,84,45,4,1,1,442.3,0,0
10,0,19,3,3033,53,42,24,3,1,1,291.44,0,0
4,0,12,1,4570,48,226,15,3,1,1,1088.72,0,0
5,0,12,1,1668,27,11,12,3,1,1,111.8,1,0
6,0,35,0,4190,63,0,12,3,1,1,170.12,0,0
0,0,36,0,0,0,0,0,2,1,2,0.0,0,1
8,0,34,0,2273,52,348,19,3,1,1,1485.0,0,0
8,0,35,0,4018,58,0,30,1,1,1,224.18,0,0
1,0,35,0,2213,50,0,28,1,1,1,124.465,0,0
9,0,35,1,3595,74,21,23,3,1,1,230.76,0,0
2,0,35,0,2180,31,274,13,3,1,1,1184.44,0,0
11,0,34,2,8935,113,133,38,3,1,1,893.92,0,0
5,0,35,0,13593,161,0,39,3,1,1,550.16,0,0
5,0,35,1,4335,75,0,20,3,1,1,176.4,0,0
4,0,35,0,5738,87,0,7,3,1,1,233.0,0,0
7,0,35,0,2058,46,0,12,3,1,2,84.16,0,0
23,0,35,3,14960,217,43,27,3,1,1,779.08,0,0
2,0,35,1,2915,19,472,3,3,1,1,2005.36,0,0
7,0,34,0,15305,174,139,25,2,1,1,1322.055,0,0
1,0,34,1,6320,78,175,21,3,1,1,955.92,0,0
0,0,34,0,695,6,0,6,2,1,2,31.545,0,0
0,0,35,0,530,6,2,3,3,1,2,29.44,0,0
0,1,34,0,0,0,0,0,2,1,2,0.0,1,1
1,0,34,0,7328,119,373,38,2,1,1,2013.615,0,0
5,0,34,1,11285,146,0,42,4,1,1,285.775,0,0
6,0,34,1,6538,67,97,32,2,1,1,733.725,0,0
21,1,30,0,775,39,5,12,2,1,2,59.13,1,0
19,0,33,8,10255,85,0,37,5,1,1,155.1,0,0
11,1,33,1,5638,90,15,19,2,1,1,325.26,1,0
0,0,31,0,2660,14,0,9,3,1,1,106.96,0,0
7,0,32,0,2810,33,0,11,3,1,2,113.72,1,0
7,1,33,0,2088,36,23,26,3,1,2,176.96,1,0
0,0,33,0,0,0,0,0,3,1,2,0.0,1,1
0,0,33,0,1488,17,0,1,3,1,1,60.2,0,0
1,0,30,1,6605,89,3,17,5,1,1,104.91,0,0
0,0,33,0,0,0,0,0,4,1,2,0.0,1,1
0,0,33,0,0,0,0,0,5,1,1,0.0,0,1
23,0,28,3,15895,230,0,75,2,1,1,725.625,0,0
4,0,31,3,6785,108,260,28,2,2,1,1480.185,0,0
0,0,33,0,3538,74,0,23,2,1,1,162.54,0,0
1,0,32,0,1485,36,27,15,3,1,2,168.84,0,0
4,0,33,0,2600,45,164,18,2,1,1,857.025,0,0
2,0,24,1,1135,28,182,6,2,2,1,871.335,0,0
2,0,23,0,1388,31,19,63,4,1,1,82.975,0,0
9,0,24,0,520,17,0,2,2,1,2,24.165,0,0
0,0,23,0,0,0,10,0,4,1,2,25.0,0,0
8,0,22,0,1045,24,8,8,2,1,1,84.105,0,0
0,0,22,0,3045,53,0,18,3,1,1,123.92,0,0
0,0,15,0,1515,18,17,9,2,1,1,145.485,0,0
14,0,14,1,6213,133,74,37,2,2,1,618.57,0,0
