customer_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn,is_dormant,churn_probability,predicted_churn,risk_score
CUST-00224,12,1,32,0,5738,96,16,20,2,1,1,334.53,1,0,0.9999919865201701,1,334.5273192505925
CUST-00721,11,0,36,1,5628,97,17,21,2,1,1,334.125,1,0,0.9999919021098299,1,334.1222942924469
CUST-02467,14,0,38,0,3410,53,48,22,3,1,2,330.52,1,0,0.9999048892544582,1,330.4885639963835
CUST-00486,7,1,35,0,2265,54,59,35,3,1,2,328.76,1,0,0.9999540475890546,1,328.7448926853776
CUST-00424,11,1,33,1,5638,90,15,19,2,1,1,325.26,1,0,0.9999941752464607,1,325.2581054406638
CUST-01525,4,0,35,0,2078,44,59,33,3,1,2,320.88,1,0,0.9999148318812481,1,320.8526712540549
CUST-01081,5,1,32,0,5453,89,14,20,2,1,1,312.39,1,0,0.9999777412166689,1,312.3830465786752
CUST-02415,14,0,38,0,5523,94,12,11,2,1,1,306.765,1,0,0.9998524150896382,1,306.71972611497284
CUST-02515,18,0,37,1,6008,98,7,22,2,1,1,306.27,1,0,0.9999343468373227,1,306.24989240586683
CUST-02368,18,1,37,0,3895,57,37,33,3,1,2,306.08,1,0,0.999997652529019,1,306.0792814860821
CUST-00324,8,1,30,0,5558,88,11,18,2,1,1,303.57,1,0,0.9999967065391044,1,303.5690002040759
CUST-01713,6,0,29,0,5513,86,11,21,2,1,1,301.455,1,0,0.9999770999200522,1,301.44809665639934
CUST-01429,8,1,34,0,2563,48,48,44,3,1,2,296.44,1,0,0.9999961310643022,1,296.4388530927017
CUST-00575,9,1,36,0,3105,47,41,20,3,1,2,290.08,1,0,0.9999857224602292,1,290.0758583712633
CUST-00873,15,1,37,0,2978,55,42,31,3,1,2,289.32,1,0,0.9999935374640501,1,289.31813025909895
CUST-01179,7,0,30,0,5433,90,9,18,2,1,1,289.035,1,0,0.9999769331851277,1,289.0283328831634
CUST-01666,6,0,34,0,5323,91,10,19,2,1,1,288.63,1,0,0.9999888066559607,1,288.62676926510994
CUST-01438,2,1,33,0,1960,48,52,33,3,1,2,288.32,1,0,0.9999812896596877,1,288.31460543468114
CUST-02814,12,0,37,1,5413,93,8,26,2,1,1,283.77,1,0,0.9999387944356831,1,283.7526316970138
CUST-00377,11,1,39,0,2448,52,45,36,3,1,2,280.0,1,0,0.999988181658246,1,279.9966908643089
CUST-01376,6,1,31,0,5333,84,8,17,2,1,1,279.765,1,0,0.9999927708037671,1,279.7629775239159
CUST-02463,28,1,36,0,1375,59,55,23,3,1,2,277.36,1,0,0.9999986852770263,1,277.35963534843603
CUST-00675,11,1,36,0,2458,45,43,34,3,1,2,272.12,1,0,0.9999997870102489,1,272.11994204122897
CUST-00177,10,1,40,0,2348,46,44,35,3,1,2,271.76,1,0,0.9999983772381186,1,271.7595589982311
CUST-02168,19,1,43,0,3555,57,31,24,3,1,2,268.48,1,0,0.9999552401174158,1,268.4679828667238
CUST-00476,13,1,35,0,3590,51,30,31,3,1,2,265.64,1,0,0.9999794381853258,1,265.6345379595499
CUST-00523,9,1,36,0,5218,88,5,9,2,1,1,261.27,1,0,0.9998600528814339,1,261.23343601633223
CUST-00623,13,1,35,0,5703,92,0,20,2,1,1,260.775,1,0,0.9999562302061625,1,260.763585932012
CUST-01231,9,0,40,0,2223,48,42,35,3,1,2,258.84,1,0,0.9999706658980896,1,258.8324071610615
CUST-02766,20,1,38,0,4005,58,24,18,3,1,2,258.52,1,0,0.9999776048590551,1,258.5142104081629
CUST-01278,3,0,28,0,5253,82,4,16,2,1,1,258.075,1,0,0.9999469363548518,1,258.06130559977834
CUST-01428,8,0,33,0,3285,45,23,29,2,1,2,253.35,1,0,0.9999571319167694,1,253.3391393711135
CUST-02364,32,1,35,0,1860,63,44,34,3,1,2,252.92,1,0,0.9999941357037135,1,252.9185168021832
CUST-02468,14,1,39,0,2688,56,73,37,4,1,2,251.1,1,0,0.9999946479907951,1,251.09865611048863
CUST-00077,12,1,38,1,2328,47,39,33,3,1,1,251.0,1,0,0.9999905020379173,1,250.99761601151724
CUST-01524,4,1,34,0,2800,41,34,18,3,1,2,249.64,1,0,0.9999118892530384,1,249.6180040331285
CUST-02268,16,1,40,0,3475,55,27,23,3,1,2,249.2,1,0,0.9999548016196785,1,249.18873656362388
CUST-01815,10,1,35,0,2673,49,35,29,3,1,2,248.88,1,0,0.9999895342709888,1,248.87739528936368
CUST-01570,8,0,33,0,5398,86,0,18,2,1,1,246.78,1,0,0.9999497516101523,1,246.76759970235338
CUST-02019,11,1,36,0,2513,47,36,31,3,1,2,246.4,1,0,0.9999993419657351,1,246.39983786035714
CUST-02567,16,1,37,0,3485,48,25,21,3,1,2,241.32,1,0,0.9999993040737765,1,241.31983205908372
CUST-02068,15,1,41,0,3375,49,26,22,3,1,2,240.96,1,0,0.9999939025790506,1,240.95853076544805
CUST-01331,6,1,37,0,2143,46,38,34,3,1,2,239.56,1,0,0.9999971318427137,1,239.5593129042405
CUST-00919,7,0,35,0,5108,87,1,24,2,1,1,238.275,1,0,0.9999042829154186,1,238.25219301167135
CUST-00571,23,1,34,0,1070,53,48,21,3,1,2,236.92,1,0,0.9999984054109213,1,236.91962220995546
CUST-02667,12,0,33,0,2573,44,33,32,3,1,2,236.68,1,0,0.9999928024412823,1,236.6782964818027
CUST-02369,18,0,38,0,3173,60,62,48,4,1,2,235.825,1,0,0.9999565073959943,1,235.81474335666033
CUST-02490,8,1,12,3,1908,31,39,13,3,1,1,233.56,1,0,0.9999924681953508,1,233.55824087170615
CUST-01621,6,1,34,0,2153,39,36,32,3,1,2,231.68,1,0,0.9999966279905022,1,231.67921877283953
CUST-01134,5,0,38,0,2043,40,37,33,3,1,2,231.32,1,0,0.999928226137566,1,231.30339727014177
CUST-02378,12,1,37,0,2570,60,66,37,4,1,2,230.75,1,0,0.9999564683198989,1,230.73995506481668
CUST-02716,16,1,42,0,3295,53,24,19,3,1,2,229.92,1,0,0.9999922996936027,1,229.91822954555312
CUST-00027,9,1,36,0,2268,44,34,31,3,1,2,228.48,1,0,0.9999992280677995,1,228.47982362893083
CUST-00951,9,0,36,0,2268,44,34,31,3,1,2,228.48,1,0,0.9999747080571544,1,228.47422129689863
CUST-00276,14,1,41,0,3250,51,24,22,3,1,2,228.04,1,0,0.9999931910886817,1,228.03844729586297
CUST-00576,9,0,37,0,2383,50,66,35,4,1,2,225.825,1,0,0.9999889379953099,1,225.82250192279085
CUST-02119,13,1,34,0,2493,48,31,29,3,1,2,225.64,1,0,0.9999855808477865,1,225.63674646249456
CUST-01472,4,0,34,0,4913,82,0,7,2,1,1,224.775,1,0,0.9994922368835072,1,224.66086754549033
CUST-01765,6,0,39,0,1963,44,35,30,3,1,2,220.28,1,0,0.9999453260584811,1,220.2679564241622
CUST-01968,17,1,39,2,3355,50,21,20,3,1,1,220.2,1,0,0.9999636422428757,1,220.19199402188121
CUST-01858,2,1,33,0,4803,81,0,22,2,1,1,219.78,1,0,0.9998115756377761,1,219.73858809367044
CUST-00872,15,1,36,0,3700,52,17,16,3,1,2,218.08,1,0,0.999994818202695,1,218.07886995364373
CUST-02164,33,1,41,0,1520,63,38,25,3,1,2,215.32,1,0,0.9999287889041559,1,215.30466682684286
CUST-00472,27,1,33,0,1555,57,37,32,3,1,2,212.48,1,0,0.9999997564469505,1,212.47994824984804
CUST-02169,19,1,44,0,2833,60,56,39,4,1,2,212.325,1,0,0.9999806109771403,1,212.3208832257213
CUST-01036,7,1,36,0,2023,41,32,31,3,1,1,210.56,1,0,0.9999997292281904,1,210.55994298628775
CUST-02391,12,1,11,4,2393,35,28,24,3,1,1,209.12,1,0,0.9999301923902901,1,209.10540183265746
CUST-00376,11,1,38,0,3170,49,20,21,3,1,2,208.76,1,0,0.9999763295441523,1,208.75505855563722
CUST-02767,20,1,39,0,3283,61,49,33,4,1,2,206.1,1,0,0.9999630285018012,1,206.0923801742212
CUST-00127,6,1,34,0,2208,41,29,29,3,1,2,205.96,1,0,0.9999958370239838,1,205.95914259345972
CUST-02762,34,1,36,0,1970,64,31,19,3,2,2,205.36,1,0,0.9999650765619564,1,205.35282812276338
CUST-00674,11,1,35,0,3180,42,18,19,3,1,2,200.88,1,0,0.999999380563706,1,200.87987556763724
CUST-00176,10,0,39,0,3070,43,19,20,3,1,2,200.52,1,0,0.9999748020287568,1,200.51494730280632
CUST-02269,16,1,41,0,2753,58,52,38,4,1,2,200.275,1,0,0.9999916977551307,1,200.27333726790883
CUST-02219,9,1,32,0,2313,40,26,27,3,1,2,198.12,1,0,0.999993669697614,1,198.1187458404913
CUST-01918,14,1,37,0,3295,47,16,18,3,1,2,197.68,1,0,0.9999998807246078,1,197.67997642164048
CUST-01520,18,0,32,0,765,47,41,19,3,1,2,196.48,1,0,0.9999026996270769,1,196.46088242272805
CUST-00773,7,1,31,0,2268,38,26,30,3,1,2,196.24,1,0,0.9999968562805841,1,196.23938307650184
CUST-02264,30,0,38,0,1440,61,34,24,3,1,2,196.04,1,0,0.9999687771429011,1,196.03387907109433
CUST-02568,16,1,38,0,2763,51,50,36,4,1,2,195.35,1,0,0.9999997878589378,1,195.34995855824351
CUST-02069,15,1,42,0,2653,52,51,37,4,1,2,195.125,1,0,0.9999985131697118,1,195.12470988224
CUST-01424,22,0,31,0,1250,51,30,30,2,1,2,193.545,1,0,0.9999718100194439,1,193.53954397021326
CUST-00598,3,0,10,2,1603,25,32,11,3,1,1,193.12,1,0,0.9998445632634344,1,193.08998205743447
CUST-00822,11,0,40,0,2990,47,17,17,3,1,2,189.48,1,0,0.9999418689781766,1,189.4689853339849
CUST-01330,6,1,36,0,2865,43,13,19,2,1,2,189.36,1,0,0.9999979855234991,1,189.3596185387298
CUST-02717,16,1,43,0,2573,56,49,34,4,1,2,188.225,1,0,0.9999833332608336,1,188.2218629030204
CUST-02563,30,1,35,0,1450,54,32,22,3,1,2,188.16,1,0,0.9999970629357903,1,188.1594473619983
CUST-01883,4,1,34,0,1963,38,27,29,3,1,2,188.04,1,0,0.9999988250782461,1,188.0397790677134
CUST-00988,4,0,34,0,1963,38,27,29,3,1,2,188.04,1,0,0.9999213673890174,1,188.02521392383082
CUST-02064,29,1,39,0,1340,55,33,23,3,1,2,187.8,1,0,0.9999983671632678,1,187.79969335326172
CUST-01230,9,1,39,0,2945,45,17,20,3,1,2,187.6,1,0,0.9999982770096731,1,187.59967676701467
CUST-00277,14,1,42,0,2528,54,49,37,4,1,2,187.05,1,0,0.9999790544664582,1,187.046082137951
CUST-00227,8,0,32,0,2188,42,24,27,3,1,2,185.2,1,0,0.999962036596331,1,185.1929691776405
CUST-00724,7,0,36,0,2078,43,25,28,3,1,2,184.84,1,0,0.9999572808041335,1,184.83210378383603
CUST-01969,17,0,40,2,2633,53,46,35,4,1,1,182.15,1,0,0.9999497624057844,1,182.14084922221363
CUST-01620,6,0,33,0,2875,36,11,17,2,1,2,180.495,1,0,0.999967790960841,1,180.489186429477
CUST-01133,5,1,37,0,2765,37,12,18,2,1,2,180.09,1,0,0.9999846281705889,1,180.08723168724134
CUST-00076,12,0,37,1,3050,44,14,18,3,1,1,179.76,1,0,0.9998924578933639,1,179.7406682309111
CUST-02469,5,0,39,0,553,14,39,8,3,1,2,178.68,1,0,0.9997225046973087,1,178.63041713931514
CUST-01814,10,0,34,0,3395,46,10,14,3,1,2,177.64,1,0,0.9998970885330418,1,177.62171880700953
CUST-00427,7,1,33,0,2088,36,23,26,3,1,2,176.96,1,0,0.9999883536322223,1,176.95793905875806
CUST-02712,30,1,40,0,1260,59,31,20,3,1,2,176.76,1,0,0.9999876397861996,1,176.75781520860863
CUST-02018,11,0,35,0,3235,44,11,16,3,1,2,175.16,1,0,0.9999647877226905,1,175.15383221750645
CUST-00372,25,1,36,0,1135,55,27,22,2,1,2,175.05,1,0,0.9999993894862332,1,175.04989312956513
CUST-00272,28,1,39,0,1215,57,31,23,3,1,2,174.88,1,0,0.9999991223239828,1,174.8798465120181
CUST-02459,5,0,40,0,420,12,39,6,3,1,2,173.28,1,0,0.9999465564508552,1,173.27073930180418
CUST-02191,13,0,17,3,2053,35,22,15,3,1,1,171.52,1,0,0.9998301636673524,1,171.4908696722243
CUST-02780,22,1,30,0,1715,42,25,9,3,1,2,170.28,1,0,0.999988137938953,1,170.27798012824493
CUST-00499,7,1,9,3,2088,29,21,22,3,1,1,168.68,1,0,0.9999879309498485,1,168.67796419262046
CUST-01919,14,1,38,0,2573,50,41,33,4,1,2,168.075,1,0,0.9999988201915195,1,168.07480170368964
CUST-02843,14,0,38,0,2573,50,41,33,4,1,2,168.075,1,0,0.999996934113306,1,168.0744847010939
CUST-02360,9,1,39,0,905,16,28,17,2,1,2,167.445,1,0,0.9999395577095014,1,167.43487924066744
CUST-01964,31,1,37,2,1320,56,28,21,3,1,1,167.04,1,0,0.9999801695346577,1,167.03668751906923
CUST-00670,25,1,33,0,1145,48,25,20,2,1,2,166.185,1,0,0.9999984294489747,1,166.18473899797786
CUST-01084,1,0,32,0,1903,35,22,27,3,1,2,165.52,1,0,0.9998984379736052,1,165.50318945339114
CUST-02666,12,1,32,0,3295,41,8,17,3,1,2,165.44,1,0,0.9999995656019529,1,165.4399281331871
CUST-00868,29,1,34,0,1665,58,24,17,3,1,2,164.92,1,0,0.9999925581996034,1,164.9187726982786
CUST-00823,11,1,41,0,2268,50,42,32,4,1,2,162.95,1,0,0.9999828933278103,1,162.9472124677667
CUST-02789,14,1,12,3,2502,36,15,9,3,1,1,161.52,1,0,0.999881897854204,1,161.50092414141105
CUST-02418,10,0,38,0,1973,40,20,18,3,1,2,160.52,1,0,0.9999030998032157,1,160.50444558041218
CUST-02118,13,1,33,0,3215,45,7,14,3,1,2,158.4,1,0,0.9999995281782165,1,158.39992526342948
CUST-00327,4,1,30,0,2008,34,19,25,3,1,2,157.68,1,0,0.9999947702564405,1,157.67917537403554
CUST-00950,9,1,35,0,2990,41,9,16,3,1,2,157.24,1,0,0.9999996805050516,1,157.23994976261432
CUST-00026,9,0,35,0,2990,41,9,16,3,1,2,157.24,1,0,0.9999674438034499,1,157.23488086365447
CUST-02517,14,0,36,0,3180,41,7,14,3,1,2,156.84,1,0,0.999917309912816,1,156.82703088672608
CUST-01716,2,0,29,0,1963,32,19,28,3,1,2,155.8,1,0,0.999962708347851,1,155.7941899605952
CUST-02370,9,0,38,0,1038,18,28,19,3,1,2,154.24,1,0,0.9998572895534191,1,154.2179883407194
CUST-02318,12,1,34,0,3115,39,7,13,3,1,2,154.16,1,0,0.9999988943639452,1,154.1598295551458
CUST-02617,12,0,37,0,3105,46,7,15,3,1,2,154.04,1,0,0.9999522122346449,1,154.0326387726247
CUST-01547,0,1,8,1,1298,19,25,9,3,1,1,152.68,1,0,0.9999899422356365,1,152.67846438053698
CUST-02291,10,0,14,2,1973,33,18,14,3,1,1,152.24,1,0,0.9999215153452556,1,152.22805149616173
CUST-00126,6,0,33,0,2930,38,4,14,2,1,2,151.56,1,0,0.9999853647668074,1,151.55778188405733
CUST-01226,23,1,37,0,910,51,24,21,2,1,2,151.245,1,0,0.9999991288499388,1,151.244868242909
CUST-02218,9,0,31,0,3035,37,7,12,3,1,2,150.88,1,0,0.999858587518885,1,150.85866368484938
CUST-00567,0,0,38,0,115,6,32,4,2,1,2,149.445,1,0,0.9995844960381887,1,149.3829050104271
CUST-01764,6,1,38,0,2685,41,10,15,3,1,2,149.04,1,0,0.9999276548650377,1,149.0292176810852
CUST-00172,24,1,37,0,1035,49,26,21,3,1,2,147.36,1,0,0.9999993643571906,1,147.35990633167563
CUST-02472,5,0,39,0,1048,19,48,10,4,1,2,146.675,1,0,0.9999449373133578,1,146.66692368043675
CUST-01182,3,0,30,0,1883,36,17,25,3,1,2,144.76,1,0,0.9999490704331494,1,144.7526274359027
CUST-02842,28,1,35,0,1260,53,23,19,3,1,2,144.52,1,0,0.9999983908271488,1,144.51976744233954
CUST-01914,28,0,35,0,1260,53,23,19,3,1,2,144.52,1,0,0.9999728949599246,1,144.51608277960833
CUST-01669,2,0,34,0,1773,37,18,26,3,1,2,144.4,1,0,0.9998684524601905,1,144.38100453525152
CUST-02590,10,1,11,2,1982,26,16,12,3,1,1,144.32,1,0,0.9999996248219079,1,144.31994585429774
CUST-02091,9,1,15,3,1873,27,17,13,3,1,1,144.0,1,0,0.9999959761240619,1,143.99942056186492
CUST-02618,12,0,38,0,2383,49,32,30,4,1,2,140.8,1,0,0.9999798792087791,1,140.7971669925961
CUST-00772,7,1,30,0,2990,35,1,15,2,1,2,140.625,1,0,0.9999999372933969,1,140.62499118188393
CUST-02817,8,0,37,0,1863,39,16,33,3,1,2,140.08,1,0,0.9999381748882771,1,140.07133953834986
CUST-01810,24,0,32,0,1360,52,17,15,2,1,2,140.04,1,0,0.999961241552127,1,140.03457226695986
CUST-01035,7,0,35,0,2745,38,7,16,3,1,1,139.32,1,0,0.9998999716934878,1,139.3060640563367
CUST-00577,0,0,37,0,248,8,32,6,3,1,2,138.24,1,0,0.9998993358620368,1,138.22608418956798
CUST-02417,10,0,37,0,2695,37,7,3,3,1,2,137.28,1,0,0.9998815856561947,1,137.2637440788824
CUST-01379,2,0,31,0,1783,30,16,24,3,1,2,136.52,1,0,0.9997482707291465,1,136.4856339199431
CUST-00818,25,1,38,0,955,53,24,18,3,1,2,136.32,1,0,0.9999991930573796,1,136.31988999758198
CUST-02518,14,0,37,0,2458,44,9,29,3,1,2,136.08,1,0,0.9999705259620891,1,136.0759891729211
CUST-02319,12,0,35,0,2393,42,30,28,4,1,2,135.875,1,0,0.9999743402583782,1,135.87151348260713
CUST-02739,10,0,16,3,1792,31,15,10,3,1,1,132.92,1,0,0.9998283080053779,1,132.89717870007482
CUST-01891,4,1,33,0,2685,35,2,14,2,1,2,131.4,1,0,0.9999989129094273,1,131.39985715629876
CUST-00987,4,0,33,0,2685,35,2,14,2,1,2,131.4,1,0,0.9999507980799227,1,131.39353486770185
CUST-02373,9,0,38,0,1533,23,37,21,4,1,2,131.4,1,0,0.999913551557491,1,131.3886406746543
CUST-00299,8,1,15,2,1748,29,15,13,3,1,1,131.08,1,0,0.9999894970889626,1,131.07862327842122
CUST-00625,9,1,34,0,2875,35,0,12,2,1,2,130.95,1,0,0.9999997933923352,1,130.94997294472628
CUST-01326,20,1,34,0,830,49,20,20,2,1,2,129.555,1,0,0.9999751052805512,1,129.55177476462183
CUST-01451,2,1,7,2,1783,23,14,20,3,1,1,128.24,1,0,0.9999715041658009,1,128.2363456942223
CUST-00072,26,1,35,1,1015,50,21,19,3,1,1,126.6,1,0,0.999989179354678,1,126.59863010630224
CUST-02662,26,1,30,0,1260,47,15,18,2,1,2,126.315,1,0,0.9999988666132102,1,126.31485683624766
CUST-00326,4,0,29,0,2730,31,0,10,2,1,2,124.245,1,0,0.9998972122079314,1,124.23222913077444
CUST-01991,11,1,13,3,1853,28,12,11,3,1,1,123.24,1,0,0.9999992157395092,1,123.23990334773711
CUST-01715,2,0,28,0,2685,29,0,13,2,1,2,122.13,1,0,0.9998731463551688,1,122.11450736435675
CUST-02014,25,1,33,0,1200,50,18,17,3,1,2,122.0,1,0,0.9999980747222347,1,121.99976511611263
CUST-00468,4,0,37,0,600,10,21,15,2,1,2,121.95,1,0,0.99967568787239,1,121.91045013603797
CUST-00580,0,0,37,0,743,13,41,8,4,1,2,121.4,1,0,0.9997332826189473,1,121.36762050994021
CUST-00895,9,0,10,2,2197,30,8,7,3,1,1,121.08,1,0,0.9999048600552496,1,121.06848045548962
CUST-01616,20,0,31,0,840,42,18,18,2,1,2,120.69,1,0,0.9999696586237977,1,120.68633809930614
CUST-01129,19,0,35,0,730,43,19,19,2,1,2,120.285,1,0,0.9999846481906971,1,120.283153407618
CUST-00526,5,0,36,0,1668,34,13,16,3,1,2,120.08,1,0,0.9997980627844023,1,120.05575137915103
CUST-01083,1,1,31,0,2625,32,0,12,2,1,2,119.565,1,0,0.9999958998992707,1,119.5645097714563
CUST-01181,3,1,29,0,2605,33,0,10,2,1,2,118.71,1,0,0.9999946466792062,1,118.70936450728857
CUST-00226,8,1,31,0,2910,39,0,12,3,1,2,117.96,1,0,0.9999928912613306,1,117.95916145318655
CUST-01281,0,1,28,0,1703,28,12,23,3,1,2,117.24,1,0,0.9999739990784685,1,117.23695165195964
CUST-00022,23,1,33,0,955,47,16,17,2,1,2,117.09,1,0,0.999999801089172,1,117.08997670953114
CUST-00947,23,0,33,0,955,47,16,17,2,1,2,117.09,1,0,0.999992691300625,1,117.08914422439018
CUST-01572,4,1,32,0,2570,29,0,10,2,1,2,116.955,1,0,0.999995827962182,1,116.954512059317
CUST-02170,10,0,44,0,698,18,22,10,3,1,2,116.64,1,0,0.9998275155311701,1,116.61988141155568
CUST-01378,2,1,30,0,2505,27,0,9,2,1,2,113.94,1,0,0.9999978143189844,1,113.93975096350508
CUST-01668,2,1,33,0,2495,34,0,11,2,1,2,113.805,1,0,0.999938533842351,1,113.79800484392877
CUST-00478,4,0,36,0,733,12,21,17,3,1,2,113.8,1,0,0.9999565972803096,1,113.79506077049923
CUST-00426,7,0,32,0,2810,33,0,11,3,1,2,113.72,1,0,0.9996972656631863,1,113.68557305121755
CUST-00723,7,1,35,0,2800,40,0,13,3,1,2,113.6,1,0,0.9999730231073113,1,113.59693542499056
CUST-01516,0,0,36,0,0,0,25,0,2,1,2,112.5,1,0,0.9986959685571435,1,112.35329646267864
CUST-00399,5,0,12,1,1668,27,11,12,3,1,1,111.8,1,0,0.999964949653215,1,111.79608137122943
CUST-02160,10,0,45,0,565,16,22,8,3,1,2,111.24,1,0,0.9999745709600749,1,111.23717127359873
CUST-01280,0,1,27,0,2425,25,0,8,2,1,2,110.25,1,0,0.9999732577417413,1,110.24705166602698
CUST-02173,10,1,44,0,1193,23,31,12,4,1,2,107.9,1,0,0.9999866484208205,1,107.89855936460654
CUST-02768,11,0,39,0,1148,19,15,4,3,1,2,106.68,1,0,0.9998616499786743,1,106.66524081972499
CUST-00481,4,0,36,0,1228,17,30,19,4,1,2,106.125,1,0,0.9999191518817943,1,106.11641999345541
CUST-02816,8,1,36,0,2585,36,0,18,3,1,2,104.84,1,0,0.9999626917220389,1,104.83608860013857
CUST-00921,3,1,34,0,2280,30,0,16,2,1,2,103.95,1,0,0.9999807830930114,1,103.94800240251854
CUST-00697,5,0,9,1,1677,20,9,10,3,1,1,103.88,1,0,0.999995022769805,1,103.87948296532734
CUST-00199,4,0,13,2,1568,21,10,11,3,1,1,103.56,1,0,0.9998907397453793,1,103.54868500803148
CUST-02260,7,0,42,0,485,14,18,7,2,1,2,103.455,1,0,0.9998893019311963,1,103.44354773129191
CUST-02771,11,0,39,0,1643,24,24,6,4,1,2,101.675,1,0,0.9998512274786046,1,101.65987355388711
CUST-02758,11,0,40,0,1015,17,15,2,3,1,2,101.28,1,0,0.9999142800708067,1,101.27131828557131
CUST-02114,27,1,31,0,1180,51,13,15,3,1,2,101.24,1,0,0.9999748612910754,1,101.23745495710847
CUST-02613,26,1,35,0,1070,52,14,16,3,1,2,100.88,1,0,0.9999917819044358,1,100.87917095851948
CUST-01941,8,1,11,2,1793,25,7,9,3,1,1,100.72,1,0,0.9999996268265936,1,100.7199624139745
CUST-02847,8,1,11,2,1792,25,7,9,3,1,1,100.68,1,0,0.9999996268265936,1,100.67996242890145
CUST-01526,0,0,35,0,0,0,25,0,3,1,2,100.0,1,0,0.9998854630296045,1,99.98854630296044
CUST-00922,3,0,35,0,1558,33,9,31,3,1,2,99.64,1,0,0.9998744991672339,1,99.62749509702319
CUST-02041,5,1,9,1,1733,22,7,7,3,1,1,98.2,1,0,0.9999994863812447,1,98.19994956263824
CUST-02141,7,1,7,1,1713,23,7,5,3,1,1,97.44,1,0,0.9999999006473906,1,97.43999031908174
CUST-02270,7,1,41,0,618,16,18,9,3,1,2,97.36,1,0,0.9998734516311416,1,97.34767925080794
CUST-01031,21,1,33,0,710,44,14,17,2,1,1,96.93,1,0,0.9999996620434296,1,96.92996724186963
CUST-00525,5,0,35,0,2390,31,0,1,3,1,2,96.84,1,0,0.9998949593310985,1,96.82982786162358
CUST-01529,0,0,35,0,438,7,34,6,4,1,2,96.125,1,0,0.9996888104409443,1,96.09508690363577
CUST-01760,20,0,36,0,650,47,17,16,3,1,2,95.88,1,0,0.9999997168654688,1,95.87997285306115
CUST-02540,8,0,10,1,1678,19,7,5,3,1,1,95.88,1,0,0.9999529826192319,1,95.87549197353195
CUST-02273,7,0,41,0,1113,21,27,11,4,1,2,95.85,1,0,0.9999172105034798,1,95.84206462675853
CUST-00626,9,0,35,0,2153,38,2,27,3,1,2,95.64,1,0,0.9999106686214195,1,95.63145634695256
CUST-01474,0,0,33,0,2085,25,0,9,2,1,2,94.95,1,0,0.9994305636349771,1,94.89593201714108
CUST-02559,7,0,39,0,495,7,16,5,2,1,2,94.59,1,0,0.9999411330850403,1,94.58443177851396
