call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn,is_dormant,churn_probability,predicted_churn,risk_score
0,0,29,0,0,0,0,0,2,1,2,0.0,0,1,0.904265022935377,1,0.0
0,0,34,0,0,0,0,0,3,1,1,0.0,0,1,0.859381927755275,1,0.0
0,0,34,0,0,0,0,0,3,1,2,0.0,1,1,0.859381927755275,1,0.0
0,0,35,0,0,0,0,0,4,1,1,0.0,0,1,0.8572434111422599,1,0.0
0,0,35,0,0,0,0,0,4,1,2,0.0,1,1,0.8572434111422599,1,0.0
0,0,36,0,0,0,0,0,2,1,2,0.0,1,1,0.8552717011834067,1,0.0
0,0,36,0,0,0,0,0,2,1,2,0.0,0,1,0.8552717011834067,1,0.0
0,0,31,0,0,0,0,0,3,1,2,0.0,1,1,0.8552131894037657,1,0.0
0,0,31,0,0,0,0,0,3,1,1,0.0,0,1,0.8552131894037657,1,0.0
0,0,38,0,0,0,0,0,2,1,2,0.0,0,1,0.8513041080211543,1,0.0
0,0,38,0,0,0,0,0,2,1,2,0.0,1,1,0.8513041080211543,1,0.0
0,0,33,0,0,0,0,0,4,1,2,0.0,1,1,0.850969461711515,1,0.0
0,0,33,0,0,0,0,0,4,1,1,0.0,0,1,0.850969461711515,1,0.0
0,0,32,0,0,0,0,0,2,1,2,0.0,0,1,0.8484305497631006,1,0.0
0,0,32,0,0,0,0,0,2,1,2,0.0,1,1,0.8484305497631006,1,0.0
0,0,30,0,0,0,0,0,3,1,2,0.0,1,1,0.8482775473407208,1,0.0
0,0,30,0,0,0,0,0,3,1,1,0.0,0,1,0.8482775473407208,1,0.0
0,0,33,0,0,0,0,0,2,1,2,0.0,0,1,0.8481543725955856,1,0.0
0,0,33,0,0,0,0,0,2,1,2,0.0,1,1,0.8481543725955856,1,0.0
0,0,31,0,0,0,0,0,2,1,2,0.0,0,1,0.8441785451788409,1,0.0
0,0,31,0,0,0,0,0,2,1,2,0.0,1,1,0.8441785451788409,1,0.0
0,0,32,0,0,0,0,0,4,1,2,0.0,1,1,0.8426997332267839,1,0.0
0,0,32,0,0,0,0,0,4,1,1,0.0,0,1,0.8426997332267839,1,0.0
0,0,35,0,0,0,0,0,2,1,2,0.0,1,1,0.8418026656930389,1,0.0
0,0,35,0,0,0,0,0,2,1,2,0.0,0,1,0.8418026656930389,1,0.0
0,0,30,0,0,0,0,0,2,1,2,0.0,1,1,0.8406334662108602,1,0.0
0,0,30,0,0,0,0,0,2,1,2,0.0,0,1,0.8406334662108602,1,0.0
0,0,39,0,0,0,0,0,2,1,2,0.0,0,1,0.8400505634986274,1,0.0
0,0,39,0,0,0,0,0,2,1,2,0.0,1,1,0.8400505634986274,1,0.0
0,0,34,0,0,0,0,0,4,1,1,0.0,0,1,0.8367205361170316,1,0.0
0,0,34,0,0,0,0,0,4,1,2,0.0,1,1,0.8367205361170316,1,0.0
0,0,34,0,0,0,0,0,2,1,2,0.0,0,1,0.8322364687982297,1,0.0
0,0,34,0,0,0,0,0,2,1,2,0.0,1,1,0.8322364687982297,1,0.0
0,0,31,0,0,0,0,0,5,1,1,0.0,0,1,0.06364777347208236,0,0.0
0,0,29,0,0,0,0,0,4,1,1,0.0,0,1,0.02775252006068386,0,0.0
0,0,30,0,0,0,0,0,4,1,1,0.0,0,1,0.025880319819427344,0,0.0
0,0,26,0,0,0,0,0,2,1,2,0.0,0,1,0.020285306083859575,0,0.0
0,0,32,0,0,0,0,0,5,1,1,0.0,0,1,0.017658399621523484,0,0.0
0,0,40,0,0,0,0,0,3,1,2,0.0,0,1,0.00899835096338081,0,0.0
0,0,26,0,0,0,0,0,4,1,2,0.0,0,1,0.0015975456751307882,0,0.0
0,0,16,0,0,0,0,0,2,1,1,0.0,0,1,0.0014410037733208082,0,0.0
0,0,25,0,0,0,0,0,2,1,2,0.0,0,1,0.0010026411675320272,0,0.0
0,0,24,0,0,0,0,0,2,1,2,0.0,0,1,0.0007995312731303187,0,0.0
0,0,19,0,0,0,0,0,2,1,2,0.0,0,1,0.0007995312731303187,0,0.0
0,0,23,0,0,0,0,0,2,1,1,0.0,0,1,0.0007995312731303187,0,0.0
0,0,36,0,0,0,0,0,5,1,1,0.0,0,1,0.0004517661086089843,0,0.0
0,0,33,0,0,0,0,0,5,1,1,0.0,0,1,0.00012709573744703695,0,0.0
0,0,34,0,0,0,0,0,5,1,1,0.0,0,1,0.0001084428980381793,0,0.0
0,0,37,1,0,0,0,0,5,1,1,0.0,0,1,9.851292637743247e-05,0,0.0
0,0,36,1,0,0,0,0,5,1,1,0.0,0,1,8.96906991686111e-05,0,0.0
0,0,35,0,0,0,0,0,5,1,1,0.0,0,1,6.595131881414999e-05,0,0.0
0,0,23,0,0,0,0,0,4,1,2,0.0,0,1,4.2918466224295984e-05,0,0.0
0,0,18,0,0,0,0,0,4,1,2,0.0,0,1,4.2918466224295984e-05,0,0.0
0,0,24,0,0,0,0,0,4,1,2,0.0,0,1,4.2918466224295984e-05,0,0.0
0,0,25,0,0,0,0,0,4,1,2,0.0,0,1,4.2918466224295984e-05,0,0.0
